NAME,doa.zip,doaa.zip,,DOA2M,DOA2 Demo 2000-01-07,DOA2B 2001-01-27,DOA2 PS2 2000-03-17,DOA2LE 2000-08-29,DOA2HC 2000-11-07,DOA3B 2001-10-14,DOA3.1 2002-02-08,DOA2U 2004-10-07,DOA2U PROTO 2004-10-12,DOA4 2005-12-21,DOA4 2005-12-21,
MAN_COM_P1,0054fc00,0054fbe0,BYTE,0c2544f4,8c21c2cc,8c1fbfb4,0041a960,8c2376b8,004a2b80,,,0087ae30,008767d0,83020188,83020188,MAN_COM_P1
CHAR_NUM_P1,0054fc01,0054fbe1,BYTE,0c2544f5,8c21c2cd,8c1fbfb5,0041a961,8c2376b9,004a2b81,0045e479,0059cf59,0087ae31,008767d1,83020189,83020189,CHAR_NUM_P1
CHAR_COL_P1,0054fc02,0054fbe2,BYTE,0c2544f6,8c21c2ce,8c1fbfb6,0041a962,8c2376ba,004a2b82,0045e47a,0059cf5a,0087ae32,008767d2,8302018a,8302018a,CHAR_COL_P1
WIN_POINT_P1,0054fc03,0054fbe3,BYTE,0c2544f7,8c21c2cf,8c1fbfb7,0041a963,8c2376bb,004a2b83,0045e47b,,0087ae33,008767d3,8302018b,8302018b,WIN_POINT_P1
XPOS_P1,0054fc04,0054fbe4,FLOAT,0c2544f8,8c21c2d0,8c1fbfb8,0041a964,8c2376bc,004a2b84,0045e47c,,0087ae34,008767d4,8302018c,8302018c,XPOS_P1
YPOS_P1,0054fc08,0054fbe8,FLOAT,0c2544fc,8c21c2d4,8c1fbfbc,0041a968,8c2376c0,004a2b88,0045e480,,0087ae38,008767d8,83020190,83020190,YPOS_P1
ZPOS_P1,0054fc0c,0054fbec,FLOAT,0c254500,8c21c2d8,8c1fbfc0,0041a96c,8c2376c4,004a2b8c,0045e484,,0087ae3c,008767dc,83020194,83020194,ZPOS_P1
ANIME_SPD_P1,0054fc10,0054fbf0,FLOAT,0c254504,8c21c2dc,8c1fbfc4,0041a970,8c2376c8,004a2b90,0045e488,,0087ae40,008767e0,83020198,83020198,ANIME_SPD_P1
DIRECT_P1,0054fc14,0054fbf4,"4 BYTES, SIGNED",0c254508,8c21c2e0,8c1fbfc8,0041a974,8c2376cc,004a2b94,,,0087ae44,008767e4,8302019c,8302019c,DIRECT_P1
ATK_DIR_P1,0054fc18,0054fbf8,"4 BYTES, SIGNED",0c25450c,8c21c2e4,8c1fbfcc,0041a978,8c2376d0,004a2b98,,,0087ae48,008767e8,830201a0,830201a0,ATK_DIR_P1
BODY_DIR_P1,0054fc1c,0054fbfc,"4 BYTES, SIGNED",0c254510,8c21c2e8,8c1fbfd0,0041a97c,8c2376d4,004a2b9c,,,0087ae4c,008767ec,830201a4,830201a4,BODY_DIR_P1
,,,,,,,,,,,,,,,830201a8,CHAR_DISP_P1
,,,,,,,,,,,,,,,830201a9,BYTE
,,,,,,,,,,,,,,,830201aa,BYTE
,,,,,,,,,,,,,,,830201ab,BYTE
HIT_POINT_P1,0054fc20,0054fc00,2 BYTES,0c254514,8c21c2ec,8c1fbfd4,0041a980,8c2376d8,004a2ba0,0045e498,0059cf78,,,830201ac,830201ac,HIT_POINT_P1
DAMAGE_P1,0054fc22,0054fc02,2 BYTES,0c254516,,,,,,,,,,830201ae,830201ae,Damage_P1
,,,,,,,,,,,,,,,830201b0,WORD
LAST_DMG_P1,0054fc24,0054fc04,2 BYTES,0c254518,,8c1fbfda,,,,,,,,830201b2,830201b2,Last_Damage_P1
DMG_DISP_P1,0054fc26,0054fc06,2 BYTES,0c25451a,,8c1fbfdc,,,,,,,,830201b4,830201b4,Damage_Disp_P1
,,,,,,,,,,,,,,,830201b6,WORD
ANIME_P1,0054fc28,0054fc08,2 BYTES,0c254520,,8c1fbfe0,,,,,,,,830201b8,830201b8,ANIME_P1
ACT_CODE_P1,0054fc2a,0054fc0a,2 BYTES,0c254522,,8c1fbfe2,,8c2376e6,,0045e4a6,0059cf86,,,830201ba,830201ba,ACT_CODE_P1
ACT_FLAG_P1,0054fc2b,0054fc0b,BYTE,0c254524,,8c1fbfe4,,,,,,,,830201bc,830201bc,ACT_FLAG_P1
ACT_REQ_P1,0054fc2c,0054fc0c,BYTE,,,,,,,,,,,830201be,830201be,ACT_REQ_P1
ACT_STA_P1,0054fc2d,0054fc0d,BYTE,,,8c1fbfe7,,,,,0059cf8b,,,830201bf,830201bf,ACT_STATE_P1
POSE_STA_P1,0054fc2e,0054fc0e,BYTE,,,,,,,,,,,830201c0,830201c0,POSE_STA_P1
DOWN_STA_P1,0054fc2f,0054fc0f,BYTE,,,,,,,,,,,830201c1,830201c1,DOWN_STA_P1
UpsideDownHead_P1,0054fc30,0054fc10,BYTE,,,8c1fbfea,,,,,,,,830201c2,830201c2,UpsideDownHead_P1
DOWN_DIR_P1,0054fc31,0054fc11,BYTE,,,,,,,,,,,,830201c3,BYTE
ATK_POINT_P1,0054fc32,0054fc12,BYTE,,,,,,,,,,,,830201c4,BYTE
ATK_STA_P1,0054fc33,0054fc13,BYTE,,,,,,,,,,,,830201c5,BYTE
ANIM_FLIP_P1,0054fc34,0054fc14,BYTE,,,8c1fbfee,,,,,,,,830201c6,830201c6,LeadingFoot_P1
ANIM_FLAG_P1,0054fc35,0054fc15,BYTE,,,,,,,,,,,,830201c7,BYTE
ANIM_REQ_P1,0054fc36,0054fc16,BYTE,,,,,,,,,,,,830201c8,BYTE
HIT_ATK_P1,0054fc37,0054fc17,BYTE,,,,,,,,,,,,830201c9,BYTE
HIT_BODY_P1,0054fc38,0054fc18,BYTE,,,,,,,,,,,,830201ca,DAT
HIT_STAGE_P1,0054fc39,0054fc19,BYTE,,,,,,,,,,,,830201cb,THROW_FLAG_P1
GUARD_STA_P1,0054fc3a,0054fc1a,BYTE,,,,,,,,,,,830201cd,830201cc,BYTE
JUMP_STA_P1,0054fc3b,0054fc1b,BYTE,,,,,,,,,,,830201ce,830201cd,GUARD_STA_P1
JUMP_HIGH_P1,0054fc3c,0054fc1c,BYTE,,,,,,,,,,,830201cf,830201ce,JUMP_STA_P1
JUMP_DIR_P1,0054fc3d,0054fc1d,BYTE,,,,,,,,,,,,830201cf,JUMP_HIGH_P1
BEAT_STA_P1,0054fc3e,0054fc1e,BYTE,,,,,,,,,,,,830201d0,BYTE
SKY_STA_P1,0054fc3f,0054fc1f,BYTE,,,,,,,,,,,,830201d1,BYTE
DOWN_HIT_P1,0054fc40,0054fc20,BYTE,,,,,,,,,,,,830201d2,BYTE
ACT_CANCEL_P1,0054fc41,0054fc21,BYTE,,,,,,,,,,,,830201d3,BYTE
GRASP_STA_P1,0054fc42,0054fc22,BYTE,,,,,,,,,,,,830201d4,BYTE
DWNA_STA_P1,0054fc43,0054fc23,BYTE,,,,,,,,,,,,830201d5,BYTE
MOUNT_STA_P1,0054fc44,0054fc24,BYTE,,,,,,,,,,,,830201d6,BYTE
RING_OUT_P1,0054fc45,0054fc25,BYTE,,,,,,,,,,,,830201d7,BYTE
ATK_HEIGHT_P1,0054fc46,0054fc26,BYTE,,,,,,,,,,,830201d8,830201d8,ATK_HEIGHT_P1
RING_HIT_P1,0054fc47,0054fc27,BYTE,,,,,,,,,,,,830201da,WORD
PLYR_DISP_P1,0054fc48,0054fc28,BYTE,,,,,,,,,,,,830201dc,BYTE
DANGERFLG_P1,0054fc49,0054fc29,BYTE,,,,,,,,,,,,830201dd,BYTE
DIR_AJST_P1,0054fc4a,0054fc2a,BYTE,,,,,,,,,,,,830201de,BYTE
DAMAGE_NUM_P1,0054fc4b,0054fc2b,BYTE,,,,,,,,,,,,830201df,BYTE
SIDE_SPIN_P1,0054fc4c,0054fc2c,BYTE,,,,,,,,,,,,830201e0,BYTE
HIT_GRASP_P1,0054fc4d,0054fc2d,BYTE,,,,,,,,,,,,830201e1,UKEMI_FLAG_P1
GRPLSLIP_P1,0054fc4e,0054fc2e,BYTE,,,,,,,,,,,,830201e2,BYTE
BEAT_HITST_P1,0054fc4f,0054fc2f,BYTE,,,,,,,,,,,,830201e3,HIT_GRASP???_P1
UKEMI_FLG_P1,0054fc50,0054fc30,BYTE,,,,,,,,,,,830201e1,830201e4,BYTE
DANGERSET_P1,0054fc51,0054fc31,BYTE,,,,,,,,,,,,830201e5,BYTE
,,,,,,,,,,,,,,,830201e6,BYTE
,,,,,,,,,,,,,,,830201e7,BYTE
COMBO_FLG_P1,0054fc52,0054fc32,BYTE,,,,,,,,,,,830201e8,830201e8,COMBO_FLAG_P1
COMBO_CNT_P1,0054fc53,0054fc33,BYTE,,,,,,,,,,,830201e9,830201e9,COMBO_COUNTER_P1
CMB_START_P1,0054fc54,0054fc34,BYTE,,,,,,,,,,,830201ea,830201ea,COMBO_START_P1
CANCELUSE_P1,0054fc55,0054fc35,BYTE,,,,,,,,,,,,830201eb,BYTE
,,,,,,,,,,,,,,,830201ec,BYTE
,,,,,,,,,,,,,,,830201ed,BYTE
,,,,,,,,,,,,,,,830201ee,BYTE
,,,,,,,,,,,,,,,830201ef,BYTE
,,,,,,,,,,,,,,,830201f0,BYTE
,,,,,,,,,,,,,,,830201f1,BYTE
,,,,,,,,,,,,,,,830201f2,BYTE
,,,,,,,,,,,,,,,830201f3,BYTE
,,,,,,,,,,,,,,,830201f4,DWORD
,,,,,,,,,,,,,,,830201f8,DWORD
,,,,,,,,,,,,,,,830201fc,DWORD
,,,,,,,,,,,,,,,83020200,FLOAT
,,,,,,,,,,,,,,,83020204,FLOAT
,,,,,,,,,,,,,,,83020208,FLOAT
,,,,,,,,,,,,,,,8302020c,FLOAT
,,,,,,,,,,,,,,,83020210,FLOAT
,,,,,,,,,,,,,,,83020214,FLOAT
,,,,,,,,,,,,,,,83020218,FLOAT
,,,,,,,,,,,,,,,8302021c,FLOAT
,,,,,,,,,,,,,,,83020220,DAT
MAN_COM_P2,0054fc58,0054fc38,BYTE,0c2545c4,8c21c334,8c1fc01c,0041a9c8,8c237720,004a2be8,,,0087aec4,00876864,83020224,83020224,MAN_COM_P2
CHAR_NUM_P2,0054fc59,0054fc39,BYTE,0c2545c5,8c21c335,8c1fc01d,0041a9c9,8c237721,004a2be9,0045e4e1,0059cfc1,0087aec5,00876865,83020225,83020225,CHAR_NUM_P2
CHAR_COL_P2,0054fc5a,0054fc3a,BYTE,0c2545c6,8c21c336,8c1fc01e,0041a9ca,8c237722,004a2bea,0045e4e2,0059cfc2,0087aec6,00876866,83020226,83020226,CHAR_COL_P2
